ICD_10;Kreftform;Kjønn;Alder;År;Regionkode;Region;Geografi;Personår;Rate_ujustert;ASR_Norge;Tilfeller;Meta_Category;Meta_Values;Meta_TimeStamp
C40–41;Knokler og leddbrusk;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;1,2;1,2;19;;;
C40–41;Knokler og leddbrusk;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;1,2;1,2;7;;;
C40–41;Knokler og leddbrusk;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;1;1,1;4;;;
C40–41;Knokler og leddbrusk;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;1,2;1,2;3;;;
C43;Melanom i hud;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;47,7;41,7;755;;;
C43;Melanom i hud;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;49,3;44,9;281;;;
C43;Melanom i hud;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;45,6;38,8;170;;;
C43;Melanom i hud;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;34,1;28,6;82;;;
C43;Melanom i hud;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;52,4;49,7;834;;;
C43;Melanom i hud;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;51,3;48,9;300;;;
C43;Melanom i hud;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;44,6;39,9;171;;;
C43;Melanom i hud;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;35,9;30,7;89;;;
C44;Hud ekskl. melanom;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;57,3;45,2;907;;;
C44;Hud ekskl. melanom;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;70,9;58;404;;;
C44;Hud ekskl. melanom;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;41,3;31;154;;;
C44;Hud ekskl. melanom;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;30,8;22,6;74;;;
C44;Hud ekskl. melanom;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;67,7;67,1;1076;;;
C44;Hud ekskl. melanom;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;72,3;74,5;423;;;
C44;Hud ekskl. melanom;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;52,9;48,5;203;;;
C44;Hud ekskl. melanom;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;29,8;26,9;74;;;
C45;Mesoteliom;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;0,2;0,2;3;;;
C45;Mesoteliom;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;0,5;0,5;3;;;
C45;Mesoteliom;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;1,1;0,9;4;;;
C45;Mesoteliom;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;0,8;0,8;2;;;
C45;Mesoteliom;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;2,6;2,3;42;;;
C45;Mesoteliom;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;2,2;1,9;13;;;
C45;Mesoteliom;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;2,3;2;9;;;
C45;Mesoteliom;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;2;1,6;5;;;
C47;Autonome nervesystem;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;0;0;0;;;
C47;Autonome nervesystem;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;0,2;0,2;1;;;
C47;Autonome nervesystem;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;0,5;0,7;2;;;
C47;Autonome nervesystem;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;0;0;0;;;
C47;Autonome nervesystem;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;0,3;0,3;5;;;
C47;Autonome nervesystem;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;0,2;0,2;1;;;
C47;Autonome nervesystem;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;0,3;0,3;1;;;
C47;Autonome nervesystem;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;0;0;0;;;
C48–49;Bløtvev;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;2,5;2,2;39;;;
C48–49;Bløtvev;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;2,5;2,3;14;;;
C48–49;Bløtvev;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;2,7;2,2;10;;;
C48–49;Bløtvev;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;3,7;3,2;9;;;
C48–49;Bløtvev;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;2;1,9;32;;;
C48–49;Bløtvev;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;1,9;1,8;11;;;
C48–49;Bløtvev;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;5;4,8;19;;;
C48–49;Bløtvev;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;4,4;3,7;11;;;
C50;Bryst;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;152,2;138,7;2408;;;
C50;Bryst;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;145,5;138,8;829;;;
C50;Bryst;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;157,7;143,8;588;;;
C50;Bryst;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;162,2;141;390;;;
C50;Bryst;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;0,9;0,8;14;;;
C50;Bryst;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;0,7;0,6;4;;;
C50;Bryst;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;2,3;2,1;9;;;
C50;Bryst;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;3,6;2,9;9;;;
C51–58;Kvinnelige kjønnsorganer;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;63,9;55,4;1011;;;
C51–58;Kvinnelige kjønnsorganer;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;59,7;54,6;340;;;
C51–58;Kvinnelige kjønnsorganer;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;56,1;46,9;209;;;
C51–58;Kvinnelige kjønnsorganer;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;69,5;56,3;167;;;
C60–63;Mannlige kjønnsorganer;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;192,8;176,1;3066;;;
C60–63;Mannlige kjønnsorganer;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;204,7;195;1198;;;
C60–63;Mannlige kjønnsorganer;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;187,4;161,7;719;;;
C60–63;Mannlige kjønnsorganer;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;228,6;181,8;567;;;
C64–68;Urinveier;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;25,9;21,5;409;;;
C64–68;Urinveier;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;27,9;24,5;159;;;
C64–68;Urinveier;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;28,7;22,5;107;;;
C64–68;Urinveier;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;36,2;27;87;;;
C64–68;Urinveier;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;71,3;67,1;1134;;;
C64–68;Urinveier;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;71,6;69,3;419;;;
C64–68;Urinveier;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;80,8;70,6;310;;;
C64–68;Urinveier;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;93,6;75,4;232;;;
C69;Øye;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;1,9;1,7;30;;;
C69;Øye;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;1,1;1;6;;;
C69;Øye;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;1,3;1,4;5;;;
C69;Øye;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;2,5;1,9;6;;;
C69;Øye;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;1,8;1,6;28;;;
C69;Øye;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;1,5;1,4;9;;;
C69;Øye;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;1,6;1,6;6;;;
C69;Øye;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;2,8;2,3;7;;;
C70–72;Sentralnervesystemet;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;22,9;20,7;363;;;
C70–72;Sentralnervesystemet;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;24,4;22,8;139;;;
C70–72;Sentralnervesystemet;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;18,5;16,2;69;;;
C70–72;Sentralnervesystemet;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;27,9;23,8;67;;;
C70–72;Sentralnervesystemet;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;20,1;19;319;;;
C70–72;Sentralnervesystemet;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;19,1;18,8;112;;;
C70–72;Sentralnervesystemet;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;14,9;13,9;57;;;
C70–72;Sentralnervesystemet;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;21,8;20,8;54;;;
C73;Skjoldbruskkjertel;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;12,1;11,7;192;;;
C73;Skjoldbruskkjertel;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;10;9,8;57;;;
C73;Skjoldbruskkjertel;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;12,6;11,6;47;;;
C73;Skjoldbruskkjertel;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;16,2;15,5;39;;;
C73;Skjoldbruskkjertel;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;5,3;4,9;84;;;
C73;Skjoldbruskkjertel;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;5;4,7;29;;;
C73;Skjoldbruskkjertel;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;5,2;4,8;20;;;
C73;Skjoldbruskkjertel;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;8,5;7,7;21;;;
C37, C74–75;Andre endokrine kjertler;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;5,8;5,5;92;;;
C37, C74–75;Andre endokrine kjertler;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;3,3;3,3;19;;;
C37, C74–75;Andre endokrine kjertler;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;3,5;3;13;;;
C37, C74–75;Andre endokrine kjertler;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;2,9;2,4;7;;;
C37, C74–75;Andre endokrine kjertler;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;4;3,8;63;;;
C37, C74–75;Andre endokrine kjertler;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;4,6;4,5;27;;;
C37, C74–75;Andre endokrine kjertler;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;3,9;3,6;15;;;
C37, C74–75;Andre endokrine kjertler;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;4,4;4,1;11;;;
C39, C76, C80;Andre eller uspesifiserte;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;7,3;6;116;;;
C39, C76, C80;Andre eller uspesifiserte;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;7;5,7;40;;;
C39, C76, C80;Andre eller uspesifiserte;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;8;6,2;30;;;
C39, C76, C80;Andre eller uspesifiserte;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;8,7;7,1;21;;;
C39, C76, C80;Andre eller uspesifiserte;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;8,5;8,6;135;;;
C39, C76, C80;Andre eller uspesifiserte;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;5,5;5,9;32;;;
C39, C76, C80;Andre eller uspesifiserte;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;7,8;6,7;30;;;
C39, C76, C80;Andre eller uspesifiserte;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;8,1;6,6;20;;;
C81–96;Lymfoid og hematopoietisk vev;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;53;45,3;839;;;
C81–96;Lymfoid og hematopoietisk vev;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;54,9;49,5;313;;;
C81–96;Lymfoid og hematopoietisk vev;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;49,9;41,3;186;;;
C81–96;Lymfoid og hematopoietisk vev;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;54,5;41,7;131;;;
C81–96;Lymfoid og hematopoietisk vev;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;72,7;67,8;1156;;;
C81–96;Lymfoid og hematopoietisk vev;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;66,3;64,8;388;;;
C81–96;Lymfoid og hematopoietisk vev;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;63,3;57,8;243;;;
C81–96;Lymfoid og hematopoietisk vev;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;81,1;69;201;;;
